cve_id,arm,k,action,target_rule_id,rules_hash_pre,rules_hash_post,rules_yaml_bytes_pre,rules_yaml_bytes_post,rules_yaml_changed,findings_hash,findings_changed_vs_k0
CVE-2025-58180,semgrep,0,refine,python-os-command-injection-execute-command-wrapper,58c8df714a0e4d15,6c843683d4af9681,1704,1892,True,674cdd38c24a2445,False
CVE-2025-58180,semgrep,1,refine,python-os-command-injection-execute-command-wrapper,6c843683d4af9681,73692f44b07a49d9,1892,2097,True,e5f227e51916340c,True
CVE-2025-58180,semgrep,2,refine,python-os-command-injection-execute-command-wrapper,73692f44b07a49d9,52028802819a17a2,2097,2169,True,85495a453964b7d7,True
CVE-2025-58180,semgrep,3,,,52028802819a17a2,52028802819a17a2,2169,2169,False,85495a453964b7d7,True
CVE-2025-55037,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,a487851ea0e27554,1704,1916,True,f67af42111ce45bb,False
CVE-2025-55037,semgrep,1,refine,python-os-command-injection-command-string,a487851ea0e27554,12bac8f19284b836,1916,2031,True,f67af42111ce45bb,False
CVE-2025-55037,semgrep,2,refine,python-os-command-injection-command-string,12bac8f19284b836,de3b6862691bc907,2031,2159,True,f67af42111ce45bb,False
CVE-2025-55037,semgrep,3,,,de3b6862691bc907,de3b6862691bc907,2159,2159,False,f67af42111ce45bb,False
CVE-2025-62703,semgrep,0,refine,python-os-command-injection-execute-command-wrapper,58c8df714a0e4d15,5cb15c4bf3961f65,1704,1779,True,cc58024bc6cccd3f,False
CVE-2025-62703,semgrep,1,,,5cb15c4bf3961f65,5cb15c4bf3961f65,1779,1779,False,e3b0c44298fc1c14,True
CVE-2025-62703,semgrep,2,,,5cb15c4bf3961f65,5cb15c4bf3961f65,1779,1779,False,e3b0c44298fc1c14,True
CVE-2025-62703,semgrep,3,,,5cb15c4bf3961f65,5cb15c4bf3961f65,1779,1779,False,e3b0c44298fc1c14,True
CVE-2025-60787,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,e33b2eb7ee8f915b,1704,1892,True,3d37965e089d4cde,False
CVE-2025-60787,semgrep,1,refine,python-os-command-injection-command-string,e33b2eb7ee8f915b,0d0a6e7348f51427,1892,2136,True,3d37965e089d4cde,False
CVE-2025-60787,semgrep,2,refine,python-os-command-injection-command-string,0d0a6e7348f51427,34ff0d0146c44704,2136,2380,True,3d37965e089d4cde,False
CVE-2025-60787,semgrep,3,,,34ff0d0146c44704,34ff0d0146c44704,2380,2380,False,3d37965e089d4cde,False
CVE-2025-47782,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,96e625a80f7838a4,1704,1968,True,4e8116cac0926ca5,False
CVE-2025-47782,semgrep,1,refine,python-os-command-injection-command-string,96e625a80f7838a4,33aee1b9c940c0a4,1968,2084,True,4e8116cac0926ca5,False
CVE-2025-47782,semgrep,2,refine,python-os-command-injection-command-string,33aee1b9c940c0a4,33aee1b9c940c0a4,2084,2084,False,4e8116cac0926ca5,False
CVE-2025-47782,semgrep,3,,,33aee1b9c940c0a4,33aee1b9c940c0a4,2084,2084,False,4e8116cac0926ca5,False
CVE-2025-0655,semgrep,0,refine,python-os-command-injection-execute-command-wrapper,58c8df714a0e4d15,a350f25da377625b,1704,1768,True,8804031d362832a8,False
CVE-2025-0655,semgrep,1,refine,python-os-command-injection-execute-command-wrapper,a350f25da377625b,89ae383f4052848d,1768,1805,True,f1366a3c3086dba5,True
CVE-2025-0655,semgrep,2,,,89ae383f4052848d,89ae383f4052848d,1805,1805,False,e3b0c44298fc1c14,True
CVE-2025-0655,semgrep,3,,,89ae383f4052848d,89ae383f4052848d,1805,1805,False,e3b0c44298fc1c14,True
CVE-2022-24065,semgrep,0,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,1,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,2,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,3,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2021-43857,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,3056f71185eaf225,1704,2224,True,56dadbc56973196b,False
CVE-2021-43857,semgrep,1,refine,python-os-command-injection-command-string,3056f71185eaf225,a691740a31d7e5fb,2224,2645,True,56dadbc56973196b,False
CVE-2021-43857,semgrep,2,refine,python-os-command-injection-command-string,a691740a31d7e5fb,4b206a422dde91fa,2645,2798,True,87bfa3c4aaa70d37,True
CVE-2021-43857,semgrep,3,,,4b206a422dde91fa,4b206a422dde91fa,2798,2798,False,7eae25d93c4341af,True
CVE-2021-23727,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,cf160d42327d6a3c,1704,1808,True,649aaa8cada5c333,False
CVE-2021-23727,semgrep,1,refine,python-os-command-injection-execute-command-wrapper,cf160d42327d6a3c,79e5d95eb049e82b,1808,1880,True,649aaa8cada5c333,False
