cve_id,arm,k,action,target_rule_id,rules_hash_pre,rules_hash_post,rules_yaml_bytes_pre,rules_yaml_bytes_post,rules_yaml_changed,findings_hash,findings_changed_vs_k0
CVE-2026-33641,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33641,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33641,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33641,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-27602,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-27602,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-27602,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-27602,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33046,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33046,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33046,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33046,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33310,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33310,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33310,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33310,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-32608,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-32608,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-32608,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-32608,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-0596,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-0596,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-0596,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-0596,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-33718,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,4c8bee7983dea171,False
CVE-2026-33718,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,4c8bee7983dea171,False
CVE-2026-33718,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,4c8bee7983dea171,False
CVE-2026-33718,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,4c8bee7983dea171,False
CVE-2025-64340,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-64340,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-64340,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-64340,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2023-34540,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,643ea57c32ffabb7,False
CVE-2023-34540,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,643ea57c32ffabb7,False
CVE-2023-34540,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,643ea57c32ffabb7,False
CVE-2023-34540,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,643ea57c32ffabb7,False
